"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C4,C5,C6,C8,C9,C10,C12,C15,C16,C17,C20,C21,C22,C23,C24","100nF","","-- mixed values --","16",""
"C2,C7,C11,C13,C14,C18,C19","47uF","","untitled:CAPC2012X135N","7",""
"C3","10uF","","untitled:CAPC2012X135N","1",""
"D1","1N5819HW-7-F","","untitled:SOD3715X145N","1",""
"D2","GREEN","","untitled:LEDC2012X70N","1",""
"D3","RED","","untitled:LEDC2012X70N","1",""
"D4","WHITE","","untitled:LEDC2012X70N","1",""
"J1","CSP-USC16-TR","","mehak:VALCON_CSP-USC16-TR","1",""
"J2","10114828-13102LF","","untitled:AMPHENOL_10114828-13102LF","1",""
"J3,J4,J5,J6,J7","S4B-PH-K-S(LF)(SN)","","BIOMEDICAL:JST_S4B-PH-K-S(LF)(SN)","5",""
"J8,J9,J10,J11","Conn_01x01_Pin","~","","4",""
"L1","ASPI-0630LR-5R6M-T15","","untitled:IND_ASPI-0630LR-5R6M-T15","1",""
"LS1","CMT-8530S-SMT","","untitled:CUI_CMT-8530S-SMT","1",""
"Q1,Q2","BSS138","","untitled:SOT95P240X111-3N","2",""
"R1,R2,R22,R23","1k","","untitled:RESC2012X65N","4",""
"R3,R4,R5,R6,R7,R8,R12,R14,R17","10k","","untitled:RESC2012X65N","9",""
"R9,R11,R24","0","","untitled:RESC2012X65N","3",""
"R10","3k","","untitled:RESC2012X65N","1",""
"R13","1K","","untitled:RESC2012X65N","1",""
"R15,R16","10K","","untitled:RESC2012X65N","2",""
"R18","15K","","untitled:RESC2012X65N","1",""
"R19","2K","","untitled:RESC2012X65N","1",""
"R20,R21","47k","","untitled:RESC2012X65N","2",""
"S1","Boot1","","untitled:434121025816","1",""
"S2","Reset1","","untitled:434121025816","1",""
"S3","JS202011SCQN","","untitled:SW_JS202011SCQN","1",""
"S4,S5,S6,S7,S8","B3SL-1022P","","untitled:SW_B3SL-1022P","5",""
"SV1","MA04-1","","untitled:MA04-1","1",""
"T1,T2,T3,T4","BC847","","untitled:SOT23","4",""
"U1","ESP32-WROOM-32E_(4MB)","","untitled:XCVR_ESP32-WROOM-32E_(4MB)","1",""
"U2","CH340C","","untitled:SOIC127P600X180-16N","1",""
"U3","TP4056","","untitled:SOP127P600X175-9N","1",""
"U4","MT3608","","untitled:SOT95P280X145-6N","1",""
"U5","AMS1117-3.3","","untitled:SOT229P700X180-4N","1",""
