"Reference","Value","Footprint","Qty","DNP"
"C1,C7,C10,C12,C13,C16,C19","47uF","iot_home:CAPC2012X135N","7",""
"C2,C3,C4,C5,C6,C8,C11,C14,C15,C17,C18,C20,C21,C22,C23,C24,C25,C26","100nF","iot_home:CAPC2012X135N","18",""
"C9","100uF","iot_home:CAPC2012X135N","1",""
"D1","1N5819HW-7-F","iot_home:SOD3715X145N","1",""
"D3","LED","mehak:LED_PLCC_2835","1",""
"D5","green","iot_home:LEDC2012X70N","1",""
"D6","red","iot_home:LEDC2012X70N","1",""
"D7","white","iot_home:LEDC2012X70N","1",""
"J1","CSP-USC16-TR","iot_home:VALCON_CSP-USC16-TR","1",""
"J2","10114828-13102LF","iot_home:AMPHENOL_10114828-13102LF","1",""
"J3,J4,J5,J6,J7,J8,J9","S4B-PH-K-S(LF)(SN)","iot_home:JST_S4B-PH-K-S(LF)(SN)","7",""
"J10,J11,J12,J13","Conn_01x01_Pin","mehak:educate_touchpad","4",""
"L1","ASPI-0630LR-5R6M-T15","iot_home:IND_ASPI-0630LR-5R6M-T15","1",""
"LS1","CMT-8530S-SMT","iot_home:CUI_CMT-8530S-SMT","1",""
"Q1,Q2","BSS138","iot_home:SOT95P240X111-3N","2",""
"Q3","BC847","Package_TO_SOT_SMD:SOT-23","1",""
"R1,R2,R9,R15,R22,R27,R28","1k","-- mixed values --","7",""
"R3,R4,R5,R6,R7,R8,R11,R14,R18,R19,R21","10k","iot_home:RESC2012X65N","11",""
"R10","100","Resistor_SMD:R_0805_2012Metric","1",""
"R12","15k","iot_home:RESC2012X65N","1",""
"R13","2k","iot_home:RESC2012X65N","1",""
"R16,R17","47k","iot_home:RESC2012X65N","2",""
"R20","3k","iot_home:RESC2012X65N","1",""
"R23","LDR07","OptoDevice:R_LDR_5.1x4.3mm_P3.4mm_Vertical","1",""
"R24,R25,R26","0","iot_home:RESC2012X65N","3",""
"S1","boot","iot_home:434121025816","1",""
"S2","reset","iot_home:434121025816","1",""
"S3","JS202011SCQN","iot_home:SW_JS202011SCQN","1",""
"S8,S9,S10,S11,S12","B3SL-1022P","iot_home:SW_B3SL-1022P","5",""
"SV1","MA04-1","mehak:DISPLAY-OLED-128X64-I2C","1",""
"T1,T2,T3,T4","BC847","iot_home:SOT23","4",""
"U1","ESP32-WROOM-32E_(4MB)","iot_home:XCVR_ESP32-WROOM-32E_(4MB)","1",""
"U2","CH340C","iot_home:SOIC127P600X180-16N","1",""
"U3","MT3608","iot_home:SOT95P280X145-6N","1",""
"U4","TP4056","iot_home:SOP127P600X175-9N","1",""
"U5","AMS1117-3.3","iot_home:SOT229P700X180-4N","1",""
